now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:43:05.520758,Cập nhật 9 ngày trước,"4,8 tỷ",,32 m²,150 triệu/m²,Đã có sổ,,3.2 m,,,10 m,"Nhà ngõ, hẻm",2 phòng,1 phòng,,,,,,,,,,,,,
2025-10-04T12:43:06.905844,Cập nhật 9 ngày trước,"8,1 tỷ",,35 m²,"231,43 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,,5,,,,,,,,,,,
2025-10-04T12:43:17.158184,Cập nhật 9 ngày trước,"7,5 tỷ",,40 m²,"187,50 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",5 phòng,4 phòng,Hoàn thiện cơ bản,4,,,,,,,,,,,
2025-10-04T12:43:16.985408,Cập nhật 9 ngày trước,"6,949 tỷ",Đất thổ cư,80 m²,"86,86 triệu/m²",Đã có sổ,Hẻm xe hơi Thổ cư toàn bộ,4 m,,Đông Nam,20 m,,,,,,,,,,,,,,,,
2025-10-04T12:43:17.196440,Cập nhật 9 ngày trước,"7,9 tỷ",,42 m²,"188,10 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:43:17.732853,Cập nhật 9 ngày trước,"4,25 tỷ",Đất thổ cư,48 m²,"88,54 triệu/m²",Đã có sổ,,4 m,,,12 m,,,,,,,,,,,,,,,,
2025-10-04T12:43:21.935383,Cập nhật 6 ngày trước,"7,2 tỷ",,30 m²,240 triệu/m²,Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:43:27.665458,Cập nhật 9 ngày trước,"15,5 tỷ",,63 m²,"246,03 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,6,66 m²,,,,,,,,,,
2025-10-04T12:43:28.020667,Cập nhật 9 ngày trước,"15,2 tỷ",,50 m²,304 triệu/m²,Đã có sổ,,,,,,Nhà phố liền kề,6 phòng,,,7,,,,,,,,,,,
2025-10-04T12:43:28.010453,Cập nhật 9 ngày trước,"11,5 tỷ",,37 m²,"310,81 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:43:28.892551,Cập nhật 9 ngày trước,95 tỷ,,125 m²,760 triệu/m²,Đã có sổ,Nhà nở hậu,3 m,,Đông Bắc,45 m,"Nhà mặt phố, mặt tiền",8 phòng,2 phòng,,2,250 m²,,,,,,,,,,
2025-10-04T12:43:38.089699,Cập nhật 9 ngày trước,3 tỷ,Đất thổ cư,30 m²,100 triệu/m²,Đã có sổ,,3.15 m,,,10 m,,,,,,,,,,,,,,,,
2025-10-04T12:43:39.093127,Cập nhật 9 ngày trước,"12,5 tỷ",,54 m²,"231,48 triệu/m²",Đã có sổ,,4.5 m,,,12 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,,4,,,,,,,,,,,
