now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:10:37.802729,Cập nhật 7 ngày trước,"3,8 tỷ",,55 m²,,"69,09 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,,,,,,,,
2025-10-04T00:10:40.593524,Cập nhật 8 ngày trước,"3,34 tỷ","Nhà ngõ, hẻm",62 m²,62 m²,"53,87 triệu/m²",Đã có sổ,2 phòng,1 phòng,Nội thất đầy đủ,5 m,12 m,1,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:10:47.463014,Cập nhật 9 ngày trước,"7,65 tỷ","Nhà ngõ, hẻm",42 m²,,"182,14 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:10:50.561217,Cập nhật 9 ngày trước,"8,8 tỷ",,49.5 m²,,"177,78 triệu/m²",Đã có sổ,,,,,,,,,Thổ cư toàn bộ,Đất thổ cư,,,,,,,,
2025-10-04T00:10:54.092530,Cập nhật 8 ngày trước,"7,8 tỷ","Nhà mặt phố, mặt tiền",40 m²,,195 triệu/m²,Đã có sổ,6 phòng,6 phòng,,,,6,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:11:01.642474,Cập nhật 7 ngày trước,"6,2 tỷ",,41 m²,,"151,22 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:11:11.496367,Cập nhật 8 ngày trước,"4,4 tỷ",,41 m²,,"107,32 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:11:22.107712,Cập nhật 4 ngày trước,"14,8 tỷ",,65 m²,,"227,69 triệu/m²",Sổ hồng riêng,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,,Chưa bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,
2025-10-04T00:11:23.044221,Cập nhật 8 ngày trước,"5,9 tỷ",,43 m²,,"137,21 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:11:37.576853,Cập nhật 8 ngày trước,"46,38 tỷ","Nhà ngõ, hẻm",90 m²,96 m²,"515,33 triệu/m²",Đã có sổ,4 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,6 m,,9,,,Hẻm xe hơi,,,,,,,,,
